id,name,instructions,description,ingredients,cuisine,warmth,tags,prep_time,cook_time,total_time,image_url,ingredient_names
1,Zupa ze szparagami i groszkiem: prawdziwa wygoda,"1. Posiekaj czosnek i cebulę.
2. Podsmaż cebulę w EVOO, po kilku minutach dodaj czosnek; smażyć, aż cebula będzie przezroczysta.
3. Dodajemy cały worek szparagów i zalewamy bulionem. Dopraw solą i pieprzem oraz szczyptą płatków czerwonej papryki, jeśli używasz. Gotuj, aż szparagi staną się jasnozielone i miękkie (jeśli szparagi zostały rozmrożone, zajmie to tylko kilka minut). Wyłącz ogień i zmiksuj blenderem zanurzeniowym.
4. Dodać groszek (ciepło zupy szybko je rozmrozi) i zmiksować na gładką masę; dodawaj więcej, aż uzyska pożądaną gęstość. Na wierzch połóż szczypiorek i małą porcję creme fraiche, kwaśnej śmietany lub jogurtu greckiego.","Zupa ze szparagami i grochówką: prawdziwa wygoda Jedzenie wymaga około <b>20 minut</b> od początku do końca. Obserwujesz swoją sylwetkę? Ten bezglutenowy, bezmleczny, paleolityczny i wegetariański przepis zawiera <b>217 kalorii</b>, <b>11 g białka</b> i <b>8 g tłuszczu</b> na porcję. Ten przepis służy 2 osobom. Za <b>1,78 USD za porcję</b> ten przepis <b>pokrywa 25%</b> Twojego dziennego zapotrzebowania na witaminy i minerały. Dzięki temu przepisowi <b>Jesień</b> będzie jeszcze bardziej wyjątkowa. Świetnie sprawdza się jako","[{""name"": ""szparagi"", ""unit"": ""opakowanie"", ""amount"": 1}, {""name"": ""oliwa z oliwek extra virgin"", ""unit"": ""łyżka"", ""amount"": 1}, {""name"": ""czosnek"", ""unit"": ""ząbki"", ""amount"": 2}, {""name"": ""cebula"", ""unit"": """", ""amount"": 0.5}, {""name"": ""groszek"", ""unit"": ""g"", ""amount"": 290}, {""name"": ""bulion warzywny"", ""unit"": ""pudełko"", ""amount"": 1}]",Międzynarodowa,True,"[""appetizer"",""vegan"",""paleolithic"",""gluten free"",""antipasti"",""lacto ovo vegetarian"",""snack"",""dairy free"",""antipasto"",""soup"",""starter"",""hor d'oeuvre"",""primal""]",,,20,https://img.spoonacular.com/recipes/716406-312x231.jpg,"['oliwa z oliwek extra virgin', 'cebula', 'groszek', 'szparagi', 'czosnek', 'bulion warzywny']"
2,"Kalafior, brązowy ryż i smażony ryż warzywny","1. Usuń twardą łodygę kalafiora i zachowaj ją do innego użytku. Używając robota kuchennego, pulsuj różyczkami kalafiora, aż będą przypominały ryż lub kuskus. Powinieneś otrzymać około czterech filiżanek „ryżu kalafiorowego”.
2. Rozgrzej 1 T masła i 1 T oleju na dużej patelni na średnim ogniu.
3. Dodaj czosnek oraz białe i jasnozielone kawałki szalotki. Smaż około minuty.
4. Dodaj kalafior na patelnię. Mieszaj, aż pokryje się olejem, następnie rozłóż na patelni i odstaw; chcesz, żeby trochę podgotowała i skarmelizowała (trochę się zarumieniła), co wydobędzie słodycz. Po kilku minutach wymieszać i ponownie rozprowadzić.
5. Dodaj zimny ryż (łatwo się oddziela, więc nie zbryla się podczas gotowania) oraz dodatkowo pestki winogron i olej kokosowy lub masło. Podnieś temperaturę do średnio-wysokiej. Całość mieszamy i ponownie rozprowadzamy masę po całej patelni i lekko dociskamy do dna.
6. Odstaw na około dwie minuty, aby ryż się przyrumienił i był trochę chrupiący.
7. Dodać groszek i brokuły i ponownie wymieszać.
8. Skrop ryż sosem sojowym i prażonym olejem sezamowym. Gotuj przez kolejną minutę i wyłącz ogień.
9. Dodaj posiekane szczyty cebuli i wymieszaj. Lubię prażyć nasiona sezamu na suchej patelni; Posypuję nimi i odrobiną surowej, posiekanej cebuli wierzch ryżu, aby dodać smaku i chrupkości. Dopraw do smaku solą i, jeśli chcesz, większą ilością sosu sojowego. Pamiętaj, że jeśli podajesz to z czymś słonym i pikantnym (np. kurczakiem teriyaki), możesz wstrzymać się z dodawaniem zbyt dużej ilości soli do smażonego ryżu.","Przepis na kalafior, brązowy ryż i smażony ryż z warzywami jest gotowy <b>w około 30 minut</b> i jest zdecydowanie świetną opcją <b>bezglutenową, bezmleczną, lakto ovo wegetariańską i wegańską</b> dla miłośników chińskiej kuchni. Z tego przepisu wychodzi 8 porcji zawierających <b>248 kalorii</b>, <b>7 g białka</b> i <b>13 g tłuszczu</b> każda. Za <b>1,19 USD za porcję</b> ten przepis <b>pokrywa 19%</b> Twojego dziennego zapotrzebowania na witaminy i minerały. Świetnie sprawdza się jako hor d'oeuvre. Zrobiło to 3689 osób","[{""name"": ""olej z pestek winogron"", ""unit"": ""łyżki"", ""amount"": 2}, {""name"": ""olej kokosowy"", ""unit"": ""łyżki"", ""amount"": 2}, {""name"": ""szalotki"", ""unit"": """", ""amount"": 7}, {""name"": ""czosnek"", ""unit"": ""ząbki"", ""amount"": 5}, {""name"": ""kalafior"", ""unit"": ""główka"", ""amount"": 1}, {""name"": ""brązowy ryż"", ""unit"": ""g"", ""amount"": 585}, {""name"": ""brokuł"", ""unit"": ""g"", ""amount"": 176}, {""name"": ""groszek"", ""unit"": ""g"", ""amount"": 145}, {""name"": ""sos sojowy"", ""unit"": ""łyżki"", ""amount"": 3}, {""name"": ""olej sezamowy"", ""unit"": ""łyżeczki"", ""amount"": 2}, {""name"": ""nasiona sezamu"", ""unit"": ""porcje"", ""amount"": 8}, {""name"": ""szczypiorek"", ""unit"": ""porcje"", ""amount"": 8}, {""name"": ""sól"", ""unit"": ""porcje"", ""amount"": 8}]",chiński,True,"[""appetizer"",""vegan"",""side dish"",""gluten free"",""antipasti"",""lacto ovo vegetarian"",""snack"",""dairy free"",""antipasto"",""starter"",""hor d'oeuvre""]",,,30,https://img.spoonacular.com/recipes/716426-312x231.jpg,"['szalotki', 'brokuł', 'olej sezamowy', 'sos sojowy', 'nasiona sezamu', 'szczypiorek', 'kalafior', 'sól', 'olej z pestek winogron', 'czosnek', 'groszek', 'olej kokosowy', 'brązowy ryż']"
3,Chrupiąca przystawka z brukselki,"1. Brukselkę blanszować we wrzącej wodzie przez 6-8 minut lub w kuchence mikrofalowej w niewielkiej ilości wody przez około 4 minuty.
2. Odcedź.
3. Smaż brukselkę, ciągle mieszając, aż nabierze złotobrązowego koloru. W międzyczasie wymieszaj ocet, musztardę, miód i oliwę z oliwek.
4. Do kiełków dodać orzechy włoskie, wymieszać i połączyć.
5. Kiełki polej dressingiem octowym, dopraw pieprzem.
6. Wymieszać i połączyć tak, aby każda kiełka była pokryta dressingiem.
7. Podawać na ciepło lub na zimno jako dodatek.","Przepis na chrupiącą przystawkę z brukselki można przygotować <b>w około 30 minut</b>. Za <b>1,69 USD za porcję</b> otrzymasz dodatek na 4 osoby. Jedna porcja zawiera <b>232 kalorie</b>, <b>8 g białka</b> i <b>16 g tłuszczu</b>. Ten przepis polubiło 26 smakoszy i kucharzy. Jest dostarczany przez Foodista. Mieszanka octu winnego, orzechów włoskich, musztardy dijon i kilku innych składników wystarczy, aby przepis był tak pyszny. Jest to dobra opcja, jeśli podążasz za <b>","[{""name"": ""pieprz"", ""unit"": ""łyżeczki"", ""amount"": 0.25}, {""name"": ""brukselka"", ""unit"": ""g"", ""amount"": 800}, {""name"": ""musztarda dijon"", ""unit"": ""łyżeczka"", ""amount"": 1}, {""name"": ""miód"", ""unit"": ""łyżeczki"", ""amount"": 0.5}, {""name"": ""oliwa z oliwek"", ""unit"": ""łyżki"", ""amount"": 3}, {""name"": ""czerwony ocet winny"", ""unit"": ""łyżki"", ""amount"": 2}, {""name"": ""orzechy włoskie"", ""unit"": ""g"", ""amount"": 29.25}]",Międzynarodowa,True,"[""side dish"",""paleolithic"",""gluten free"",""lacto ovo vegetarian"",""dairy free"",""primal""]",,,30,https://img.spoonacular.com/recipes/640941-312x231.jpg,"['oliwa z oliwek', 'miód', 'musztarda dijon', 'czerwony ocet winny', 'pieprz', 'brukselka', 'orzechy włoskie']"
4,Broccolini Quinoa Pilaw,"1. Na dużej patelni z pokrywką rozgrzej oliwę z oliwek na średnim ogniu.
2. Dodaj cebulę i smaż przez 1 minutę.
3. Dodaj czosnek i smaż, aż cebula będzie przezroczysta, a czosnek zacznie pachnieć.
4. Dodaj komosę ryżową na patelnię, wymieszaj. Powoli dodawaj bulion i doprowadzaj do wrzenia. Przykryj i zmniejsz ogień do małego, gotuj przez 15 minut. Na ostatnich 2-3 minutach gotowania dodaj brokuły na wierzch komosy ryżowej (nie mieszaj) i przykryj. Odkryj i wymieszaj brokuły i komosę ryżową. Dopraw do smaku solą i pieprzem.
5. Dodaj orzechy włoskie i podawaj na gorąco.","Broccolini Quinoa Pilaf wymaga około <b>30 minut</b> od początku do końca. Za <b>4,14 USD za porcję</b> otrzymujesz danie główne dla 2 osób. Jedna porcja tego dania zawiera około <b>20 g białka</b>, <b>31 g tłuszczu</b> i łącznie <b>625 kalorii</b>. Udaj się do sklepu i kup bulion warzywny, cebulę, oliwę z oliwek i kilka innych rzeczy, które przygotujesz dzisiaj. Kilka osób przygotowało ten przepis, a 94 stwierdziły, że był strzałem w dziesiątkę. Jest to <b>dość drogi</b> przepis dla fanów Medit","[{""name"": ""brokuły"", ""unit"": ""pęczek"", ""amount"": 1}, {""name"": ""ząbek czosnku"", ""unit"": """", ""amount"": 1}, {""name"": ""oliwa z oliwek"", ""unit"": ""łyżka"", ""amount"": 1}, {""name"": ""cebula"", ""unit"": ""g"", ""amount"": 80}, {""name"": ""komosa ryżowa"", ""unit"": ""g"", ""amount"": 170}, {""name"": ""bulion warzywny"", ""unit"": ""ml"", ""amount"": 470}, {""name"": ""orzechy włoskie"", ""unit"": ""g"", ""amount"": 56.699}]",śródziemnomorski,True,"[""dinner"",""main dish"",""vegan"",""side dish"",""gluten free"",""main course"",""lacto ovo vegetarian"",""dairy free"",""lunch""]",,,30,https://img.spoonacular.com/recipes/715769-312x231.jpg,"['oliwa z oliwek', 'komosa ryżowa', 'cebula', 'brokuły', 'ząbek czosnku', 'bulion warzywny', 'orzechy włoskie']"
5,Salsa z kukurydzianego awokado,"1. Rozgrzej piekarnik do 375 stopni.
2. Rozłóż kukurydzę na blasze do pieczenia. Lekko spryskaj oliwą z oliwek w sprayu. Piecz kukurydzę w piekarniku przez około 8-10 minut. (Uważaj, aby nie przypalić się zbytnio ani nie przypalić.)
3. Zdjąć z ognia i ostudzić. Paprykę i czosnek drobno posiekać, wymieszać w misce. Awokado obrać i grubo posiekać, dodać do miski.
4. Dodaj ostudzoną kukurydzę.
5. Dodaj kminek i ocet i dobrze wymieszaj.","Salsa z awokado kukurydzianego może być właśnie przystawką, której szukasz. Za <b>1,31 USD za porcję</b> ten przepis <b>pokrywa 15%</b> Twojego dziennego zapotrzebowania na witaminy i minerały. Jedna porcja tego dania zawiera około <b>5 g białka</b>, <b>16 g tłuszczu</b> i łącznie <b>237 kalorii</b>. Ten przepis służy 2 osobom. 44 osoby przygotowały ten przepis i zrobią go ponownie. Ten przepis z Foodista wymaga awokado, octu balsamicznego, kminku i czosnku. Kilku osobom naprawdę spodobało się to Mexi","[{""name"": ""awokado"", ""unit"": """", ""amount"": 1}, {""name"": ""ocet balsamiczny"", ""unit"": ""łyżeczka"", ""amount"": 1}, {""name"": ""kminek"", ""unit"": ""łyżeczka"", ""amount"": 1}, {""name"": ""kukurydza"", ""unit"": ""g"", ""amount"": 123.75}, {""name"": ""czosnek"", ""unit"": ""ząbek"", ""amount"": 1}, {""name"": ""papryka"", ""unit"": ""średnia sztuka"", ""amount"": 0.5}]",Meksykański,True,"[""appetizer"",""vegan"",""condiment"",""gluten free"",""antipasti"",""lacto ovo vegetarian"",""snack"",""dairy free"",""antipasto"",""spread"",""dip"",""starter"",""hor d'oeuvre""]",,,25,https://img.spoonacular.com/recipes/640062-312x231.jpg,"['ocet balsamiczny', 'papryka', 'kukurydza', 'czosnek', 'kminek', 'awokado']"
6,Marokański gulasz z ciecierzycy i soczewicy,"1. W dużym rondlu na średnim ogniu rozgrzej olej, dodaj cebulę i smaż przez około 3 minuty.
2. Na patelnię dodaj seler, marchewkę i brokuły i smaż około 5 minut.
3. Dodaj wszystkie przyprawy i gotuj dodatkową 1 minutę.
4. Dodać wodę, koncentrat pomidorowy, ciecierzycę i soczewicę, doprowadzić do wrzenia. Przykryj, zmniejsz ogień do małego i gotuj na wolnym ogniu przez 20 minut. W tym czasie na osobnej patelni ugotuj kuskus zgodnie z instrukcją na opakowaniu.
5. Do gulaszu dodać kolendrę i sok z cytryny i podawać z ciepłym kuskusem.","Przepis na marokański gulasz z ciecierzycy i soczewicy można przygotować <b>w około 30 minut</b>. Ten bezmleczny, lakto ovo wegetariański i wegański przepis jest przeznaczony dla 3 osób i kosztuje <b>1,26 USD za porcję</b>. To danie główne ma <b>466 kalorii</b>, <b>20 g białka</b> i <b>7 g tłuszczu</b> na porcję. Ten przepis polubiło 11 smakoszy i kucharzy. Można się nim delektować o każdej porze, ale szczególnie nadaje się na <b>jesień</b>. Jest dostarczany przez Foodista. Jeśli masz oliwę z oliwek, sól i pieprz, koncentrat pomidorowy i a","[{""name"": ""brokuł"", ""unit"": ""g"", ""amount"": 88}, {""name"": ""ciecierzyca"", ""unit"": ""puszka"", ""amount"": 1}, {""name"": ""marchewki"", ""unit"": ""duża sztuka"", ""amount"": 2}, {""name"": ""łodygi selera"", ""unit"": """", ""amount"": 2}, {""name"": ""soczewica"", ""unit"": ""g"", ""amount"": 99}, {""name"": ""kuskus"", ""unit"": ""ml"", ""amount"": 173}, {""name"": ""kolendra"", ""unit"": ""porcje"", ""amount"": 3}, {""name"": ""mielony cynamon"", ""unit"": ""łyżeczki"", ""amount"": 0.125}, {""name"": ""mielony kminek"", ""unit"": ""łyżeczki"", ""amount"": 2}, {""name"": ""mielona kurkuma"", ""unit"": ""łyżeczki"", ""amount"": 0.5}, {""name"": ""sok z cytryny"", ""unit"": ""łyżka"", ""amount"": 1}, {""name"": ""oliwa z oliwek"", ""unit"": ""łyżeczki"", ""amount"": 2}, {""name"": ""papryka"", ""unit"": ""łyżeczki"", ""amount"": 2}, {""name"": ""sól i pieprz"", ""unit"": ""porcje"", ""amount"": 3}, {""name"": ""pasta pomidorowa"", ""unit"": ""łyżki"", ""amount"": 2}, {""name"": ""woda"", ""unit"": ""ml"", ""amount"": 354.882}]",Międzynarodowa,True,"[""dinner"",""main dish"",""vegan"",""main course"",""lacto ovo vegetarian"",""dairy free"",""soup"",""lunch""]",,,30,https://img.spoonacular.com/recipes/652417-312x231.jpg,"['brokuł', 'ciecierzyca', 'oliwa z oliwek', 'mielony cynamon', 'łodygi selera', 'sól i pieprz', 'mielona kurkuma', 'marchewki', 'sok z cytryny', 'kolendra', 'woda', 'papryka', 'pasta pomidorowa', 'mielony kminek', 'soczewica', 'kuskus']"
7,Sałatka z marchewki i kapusty z kolendrą i kminkiem na sucho,"1. Pokrój marchewkę i kapustę na kawałki mniej więcej tej samej wielkości.
2. Dodaj mieloną kolendrę, kminek, sok z limonki i oliwę z oliwek i wmasuj w warzywa.
3. Dodaj na wierzch świeżą kolendrę i nasiona słonecznika. Odstaw na kilka godzin, aby przyprawy przeniknęły do ​​warzyw i dodały smaku.","Jeśli chcesz dodać więcej przepisów <b>bezglutenowych, bezmlecznych, paleolitycznych i wegetariańskich z dodatkiem lakto ovo</b> do swojego repertuaru, sałatka z marchwi i kapusty z kolendrą i kminkiem może być przepisem, który powinieneś wypróbować. Ten przepis zawiera 1 porcję. Jedna porcja tego dania zawiera około <b>6 g białka</b>, <b>10 g tłuszczu</b> i łącznie <b>222 kalorie</b>. Za <b>1,4 USD za porcję</b> ten przepis <b>pokrywa 27%</b> Twojego dziennego zapotrzebowania na witaminy i minerały. 4 osoby przygotowały ten przepis i chętnie","[{""name"": ""marchewki"", ""unit"": ""g"", ""amount"": 192}, {""name"": ""mielony kmin rzymski"", ""unit"": ""łyżeczki"", ""amount"": 0.5}, {""name"": ""kolendra"", ""unit"": ""pęczek"", ""amount"": 1}, {""name"": ""kapusta"", ""unit"": ""g"", ""amount"": 52.5}, {""name"": ""mielona kolendra"", ""unit"": ""łyżeczki"", ""amount"": 0.5}, {""name"": ""sok z limonki"", ""unit"": """", ""amount"": 1}, {""name"": ""oliwa z oliwek"", ""unit"": ""łyżeczka"", ""amount"": 1}, {""name"": ""kapusta"", ""unit"": ""g"", ""amount"": 66.75}, {""name"": ""nasiona słonecznika"", ""unit"": ""łyżeczki"", ""amount"": 2}]",Międzynarodowa,False,"[""appetizer"",""vegan"",""side dish"",""paleolithic"",""gluten free"",""antipasti"",""lacto ovo vegetarian"",""snack"",""dairy free"",""whole 30"",""antipasto"",""fodmap friendly"",""starter"",""hor d'oeuvre"",""primal"",""salad""]",,,25,https://img.spoonacular.com/recipes/637162-312x231.jpg,"['oliwa z oliwek', 'nasiona słonecznika', 'mielony kmin rzymski', 'marchewki', 'kolendra', 'sok z limonki', 'kapusta', 'mielona kolendra']"
8,Miska na ziarno Quinoa Instant Pot,"1. Opłucz i odcedź komosę ryżową, aby usunąć gorzki i czasami lekko mydlany smak, który może pozostać, jeśli nie zostanie wypłukany.
2. Połącz komosę ryżową, bulion i przyprawy w pojemniku Instant Pot, a następnie przekręć, aby zamknąć pokrywkę. Ustaw garnek na tryb ręczny na 1 minutę.
3. Po zakończeniu gotowania odczekaj 10 minut, aż garnek ostygnie do naturalnego ciśnienia, a następnie ostrożnie zwolnij pozostałe ciśnienie.
4. Ugotowaną komosę ryżową rozgnieść widelcem. Teraz masz Instant Pot Quinoa!
5. Dodaj owoce i warzywa do gałki gotowanej komosy ryżowej i przygotuj niesamowitą miskę z ziarnami komosy ryżowej.","Miska na ziarno Quinoa Instant Pot może być dobrym przepisem na rozszerzenie pudełka z przepisami na danie główne. Obserwujesz swoją sylwetkę? Ten bezglutenowy, bezmleczny, lakto ovo wegetariański i wegański przepis zawiera <b>416 kalorii</b>, <b>16 g białka</b> i <b>10 g tłuszczu</b> na porcję. Ten przepis jest przeznaczony dla 4 osób i kosztuje 3,02 USD za porcję. Od przygotowania do talerza ten przepis zajmuje około <b>13 minut</b>. Mieszanka młodej brukselki, brokułów, soli i pieprzu oraz garść innych składników to wszystko","[{""name"": ""awokado"", ""unit"": """", ""amount"": 0.5}, {""name"": ""brokuł"", ""unit"": ""g"", ""amount"": 88}, {""name"": ""tęczowe pomidorki koktajlowe"", ""unit"": ""porcje"", ""amount"": 4}, {""name"": ""klementyna"", ""unit"": """", ""amount"": 1}, {""name"": ""kapusta włoska"", ""unit"": ""g"", ""amount"": 42}, {""name"": ""komosa ryżowa"", ""unit"": ""g"", ""amount"": 340}, {""name"": ""sól i pieprz"", ""unit"": ""porcje"", ""amount"": 4}, {""name"": ""młoda brukselka"", ""unit"": ""ml"", ""amount"": 33}, {""name"": ""bulion warzywny"", ""unit"": ""ml"", ""amount"": 470}]",Międzynarodowa,True,"[""dinner"",""main dish"",""vegan"",""gluten free"",""main course"",""lacto ovo vegetarian"",""dairy free"",""lunch""]",,,13,https://img.spoonacular.com/recipes/982371-312x231.jpg,"['brokuł', 'sól i pieprz', 'młoda brukselka', 'tęczowe pomidorki koktajlowe', 'klementyna', 'komosa ryżowa', 'awokado', 'bulion warzywny', 'kapusta włoska']"
9,Zupa Z Dyni Piżmowej (W Pół godziny!),"1. W dużym garnku podsmaż cebulę na maśle, ghee lub oliwie z oliwek, aż będzie miękka
2. Dodaj pokrojoną w kostkę dynię i smaż przez kilka minut
3. Dodaj bulion warzywny i 3-calowy kawałek kombu i zagotuj
4. Zmniejsz ogień i gotuj, aż dynia będzie miękka (około 15 minut). Za pomocą łyżki cedzakowej wyjmij dynię i puree z blendera
5. Włóż dynię z powrotem do garnka i dodaj groszek czarnooki oraz ugotowaną komosę ryżową.
6. Dodaj warzywa przez około pięć minut, aż będą miękkie
7. Dodać gałkę muszkatołową, sól morską i pieprz do smaku","Zupa z dyni piżmowej (w pół godziny!) wymaga około <b>30 minut</b> od początku do końca. Za <b>1,25 USD za porcję</b> otrzymasz przystawkę dla 8 osób. Dbasz o swoją sylwetkę? Ten bezglutenowy, bezmleczny, lakto ovo wegetariański i wegański przepis zawiera <b>252 kalorie</b>, <b>9 g białka</b> i <b>6 g tłuszczu</b> na porcję. Będzie hitem na Twojej <b>jesiennej</b> imprezie. Ten przepis przygotowało 5 osób i zrobi je ponownie. Jest dostarczany przez Foodista. Idź do sklepu i wybierz siebie","[{""name"": ""dynia piżmowa"", ""unit"": """", ""amount"": 1}, {""name"": ""groszek czarnooki"", ""unit"": ""puszka"", ""amount"": 1}, {""name"": ""kapusta włoska"", ""unit"": ""porcje"", ""amount"": 8}, {""name"": ""komosa ryżowa"", ""unit"": ""porcje"", ""amount"": 8}, {""name"": ""kombu"", ""unit"": """", ""amount"": 1}, {""name"": ""gałka muszkatołowa"", ""unit"": ""porcje"", ""amount"": 8}, {""name"": ""oliwa z oliwek"", ""unit"": ""łyżki"", ""amount"": 2}, {""name"": ""sól i pieprz"", ""unit"": ""porcje"", ""amount"": 8}, {""name"": ""bulion warzywny"", ""unit"": ""g"", ""amount"": 907.185}, {""name"": ""cebula"", ""unit"": ""mała sztuka"", ""amount"": 1}]",Międzynarodowa,True,"[""appetizer"",""vegan"",""gluten free"",""antipasti"",""lacto ovo vegetarian"",""snack"",""dairy free"",""antipasto"",""soup"",""starter"",""hor d'oeuvre""]",,,30,https://img.spoonacular.com/recipes/636602-312x231.jpg,"['oliwa z oliwek', 'dynia piżmowa', 'kombu', 'sól i pieprz', 'komosa ryżowa', 'gałka muszkatołowa', 'cebula', 'groszek czarnooki', 'bulion warzywny', 'kapusta włoska']"
10,Brokuły czosnkowo-cytrynowe i chili,"1. Umyj brokuły i podziel je na małe różyczki. Łodygi obierz i pokrój w plasterki.
2. Zagotuj wodę w garnku, dodaj szczyptę soli i gotuj brokuły przez około 3-4 minuty (al dente), a następnie odcedź.
3. Na dużej patelni rozgrzej oliwę z oliwek na średnim ogniu.
4. Dodaj drobno posiekany czosnek oraz płatki czerwonej papryki (chili). Smaż przez 1 minutę, aż czosnek zacznie pachnieć.
5. W małej miseczce wymieszaj sok z cytryny, ocet ryżowy i musztardę Dijon.
6. Wrzuć brokuły na patelnię, wlej sos i dokładnie wymieszaj, smażąc przez kolejne 2 minuty.
7. Dopraw do smaku solą oraz pieprzem. Podawaj na ciepło.","Jeśli chcesz dodać więcej przepisów <b>amerykańskich</b> do swojej kolekcji, brokuły czosnkowo-cytrynowe i chili mogą być przepisem, którego powinieneś spróbować. Jedna porcja zawiera <b>453 kalorie</b>, <b>10 g białka</b> i <b>38 g tłuszczu</b>. Za <b>1,56 USD za porcję</b> ten przepis <b>pokrywa 29%</b> Twojego dziennego zapotrzebowania na witaminy i minerały. Ten przepis służy 2 osobom. <b>Super Bowl</b> dzięki temu przepisowi będzie jeszcze bardziej wyjątkowy. 1 osoba przygotowała ten przepis i zrobi go jeszcze raz. Od przygotowania do pl","[{""name"": ""brokuł"", ""unit"": ""g"", ""amount"": 680.389}, {""name"": ""czosnek"", ""unit"": ""ząbki"", ""amount"": 3}, {""name"": ""sok z cytryny"", ""unit"": ""łyżki"", ""amount"": 2}, {""name"": ""ocet ryżowy"", ""unit"": ""łyżki"", ""amount"": 2}, {""name"": ""musztarda dijon"", ""unit"": ""łyżeczki"", ""amount"": 0.5}, {""name"": ""oliwa z oliwek"", ""unit"": ""ml"", ""amount"": 72}, {""name"": ""płatki czerwonej papryki"", ""unit"": ""porcje"", ""amount"": 2}, {""name"": ""sól i pieprz"", ""unit"": ""porcje"", ""amount"": 2}]",amerykański,True,"[""appetizer"",""vegan"",""paleolithic"",""gluten free"",""antipasti"",""lacto ovo vegetarian"",""snack"",""dairy free"",""antipasto"",""soup"",""starter"",""hor d'oeuvre"",""primal""]",,,30,https://img.spoonacular.com/recipes/1132339-312x231.jpg,"['brokuł', 'oliwa z oliwek', 'sól i pieprz', 'musztarda dijon', 'płatki czerwonej papryki', 'ocet ryżowy', 'czosnek', 'sok z cytryny']"
